symbol	evidence	note	source
NPPC	biology	ligand of NPR2; endogenous counter-regulator of the causal pathway	curated (Claude knowledge; unverified)
NPR3	biology	clearance receptor for the ligand	curated (Claude knowledge; unverified)
MAPK1	biology	ERK2; downstream signalling in growth-plate chondrocytes	curated (Claude knowledge; unverified)
MAPK3	biology	ERK1	curated (Claude knowledge; unverified)
MAP2K1	biology	MEK1; MEK inhibitors rescue growth in models	curated (Claude knowledge; unverified)
RAF1	biology	MAPK cascade	curated (Claude knowledge; unverified)
STAT1	biology	proposed mediator of reduced chondrocyte proliferation	curated (Claude knowledge; unverified)
PTPN11	biology	SHP2; RAS-MAPK adaptor	curated (Claude knowledge; unverified)
SOS1	biology	RAS activator	curated (Claude knowledge; unverified)
GRB2	biology	adaptor	curated (Claude knowledge; unverified)
FRS2	biology	receptor substrate	curated (Claude knowledge; unverified)
FGF9	biology	ligand	curated (Claude knowledge; unverified)
FGF18	biology	ligand	curated (Claude knowledge; unverified)
IHH	biology	growth-plate proliferation signal	curated (Claude knowledge; unverified)
PTH1R	biology	growth-plate differentiation control	curated (Claude knowledge; unverified)
PTHLH	biology	PTHrP; delays hypertrophy	curated (Claude knowledge; unverified)
SOX9	biology	chondrocyte master regulator	curated (Claude knowledge; unverified)
COL2A1	biology	cartilage matrix; other skeletal dysplasias	curated (Claude knowledge; unverified)
COL10A1	biology	hypertrophic chondrocyte marker	curated (Claude knowledge; unverified)
MMP13	biology	cartilage remodelling	curated (Claude knowledge; unverified)
SNAI1	biology	proposed effector of the causal receptor in chondrocytes	curated (Claude knowledge; unverified)
IGF1	clinical_trial	growth axis	curated (Claude knowledge; unverified)
