symbol	drug_examples	approval_note	source
TNF	adalimumab; infliximab; etanercept; golimumab; certolizumab pegol	approved for RA (FDA/EMA/PMDA)	curated (Claude knowledge, 2026-05; unverified)
IL6R	tocilizumab; sarilumab	approved for RA	curated (Claude knowledge, 2026-05; unverified)
IL6	olokizumab	approved for RA in Russia only	curated (Claude knowledge, 2026-05; unverified)
JAK1	upadacitinib; filgotinib; baricitinib; tofacitinib; peficitinib	approved for RA (JAK inhibitors; some also JAK2/JAK3)	curated (Claude knowledge, 2026-05; unverified)
JAK2	baricitinib	approved for RA (JAK1/JAK2 inhibitor)	curated (Claude knowledge, 2026-05; unverified)
JAK3	tofacitinib; peficitinib	approved for RA (JAK1/JAK3 / pan-JAK inhibitor)	curated (Claude knowledge, 2026-05; unverified)
CD80	abatacept	approved for RA (CTLA4-Ig binds CD80/CD86)	curated (Claude knowledge, 2026-05; unverified)
CD86	abatacept	approved for RA (CTLA4-Ig binds CD80/CD86)	curated (Claude knowledge, 2026-05; unverified)
MS4A1	rituximab	approved for RA (after anti-TNF failure)	curated (Claude knowledge, 2026-05; unverified)
IL1R1	anakinra	approved for RA (IL-1 receptor antagonist)	curated (Claude knowledge, 2026-05; unverified)
TNFSF11	denosumab	approved in Japan for inhibition of bone-erosion progression in RA	curated (Claude knowledge, 2026-05; unverified)
DHFR	methotrexate	conventional DMARD; enzyme target	curated (Claude knowledge, 2026-05; unverified)
DHODH	leflunomide	conventional DMARD; enzyme target	curated (Claude knowledge, 2026-05; unverified)
NR3C1	prednisolone; methylprednisolone	glucocorticoids used in RA	curated (Claude knowledge, 2026-05; unverified)
PTGS2	celecoxib; etoricoxib; NSAIDs	symptomatic treatment of RA	curated (Claude knowledge, 2026-05; unverified)
