symbol	evidence	note	source
C4A	GWAS	complement C4A copy number; MHC locus	curated (Claude knowledge; unverified)
C4B	GWAS	MHC locus	curated (Claude knowledge; unverified)
SETD1A	exome	SCHEMA; ultra-rare LoF	curated (Claude knowledge; unverified)
CACNA1C	GWAS	L-type calcium channel	curated (Claude knowledge; unverified)
CACNB2	GWAS	calcium channel subunit	curated (Claude knowledge; unverified)
CACNA1I	GWAS	T-type calcium channel	curated (Claude knowledge; unverified)
GRIN2A	GWAS; exome	NMDA receptor 2A; SCHEMA	curated (Claude knowledge; unverified)
GRIN2B	biology	NMDA receptor 2B	curated (Claude knowledge; unverified)
GRIA1	GWAS	AMPA receptor	curated (Claude knowledge; unverified)
GRM3	GWAS	metabotropic glutamate receptor 3	curated (Claude knowledge; unverified)
GRM2	clinical_trial	pomaglumetad (mGluR2/3 agonist) failed phase 3	curated (Claude knowledge; unverified)
GRM5	biology	mGluR5; NMDA modulation	curated (Claude knowledge; unverified)
SP4	exome	SCHEMA	curated (Claude knowledge; unverified)
TRIO	exome	SCHEMA	curated (Claude knowledge; unverified)
XPO7	exome	SCHEMA	curated (Claude knowledge; unverified)
CUL1	exome	SCHEMA	curated (Claude knowledge; unverified)
HERC1	exome	SCHEMA	curated (Claude knowledge; unverified)
RB1CC1	exome	SCHEMA	curated (Claude knowledge; unverified)
AKAP11	exome	SCHEMA; shared with bipolar	curated (Claude knowledge; unverified)
SRRM2	exome	SCHEMA	curated (Claude knowledge; unverified)
ZNF804A	GWAS	early GWAS locus	curated (Claude knowledge; unverified)
TCF4	GWAS	transcription factor	curated (Claude knowledge; unverified)
NRGN	GWAS	neurogranin	curated (Claude knowledge; unverified)
NRG1	biology	historical candidate; ErbB signalling	curated (Claude knowledge; unverified)
ERBB4	biology	NRG1 receptor	curated (Claude knowledge; unverified)
DISC1	biology	historical candidate (Scottish pedigree)	curated (Claude knowledge; unverified)
COMT	biology	dopamine metabolism; Val158Met	curated (Claude knowledge; unverified)
DTNBP1	biology	dysbindin; historical candidate	curated (Claude knowledge; unverified)
RELN	biology	reelin	curated (Claude knowledge; unverified)
GAD1	biology	GABA synthesis; interneuron deficit	curated (Claude knowledge; unverified)
HCN1	GWAS	HCN channel	curated (Claude knowledge; unverified)
CLCN3	GWAS	chloride channel	curated (Claude knowledge; unverified)
SNAP91	GWAS	synaptic vesicle	curated (Claude knowledge; unverified)
NOTCH4	GWAS	MHC region	curated (Claude knowledge; unverified)
MTHFR	biology	folate metabolism; meta-analysis association	curated (Claude knowledge; unverified)
PPP1R1B	biology	DARPP-32; dopamine signalling	curated (Claude knowledge; unverified)
GABRB2	biology	GABA-A receptor subunit	curated (Claude knowledge; unverified)
CNTN4	GWAS	contactin 4	curated (Claude knowledge; unverified)
KCNB1	GWAS	potassium channel	curated (Claude knowledge; unverified)
KCNH2	biology	hERG; brain isoform 3.1	curated (Claude knowledge; unverified)
NR4A2	biology	Nurr1; dopaminergic neuron	curated (Claude knowledge; unverified)
DLG2	CNV	PSD-93; synaptic scaffold	curated (Claude knowledge; unverified)
NRXN1	CNV	exonic deletions	curated (Claude knowledge; unverified)
CYFIP1	CNV	15q11.2 deletion	curated (Claude knowledge; unverified)
KCTD13	CNV	16p11.2	curated (Claude knowledge; unverified)
VIPR2	CNV	7q36.3 duplication	curated (Claude knowledge; unverified)
SHANK3	CNV	22q13; synaptic scaffold	curated (Claude knowledge; unverified)
PRODH	CNV	22q11.2 deletion region	curated (Claude knowledge; unverified)
ZDHHC8	CNV	22q11.2 deletion region	curated (Claude knowledge; unverified)
NOS1AP	biology	CAPON; NMDA-nNOS	curated (Claude knowledge; unverified)
SLC6A9	clinical_trial	GlyT1; bitopertin failed phase 3	curated (Claude knowledge; unverified)
DAO	biology	D-amino acid oxidase; D-serine	curated (Claude knowledge; unverified)
PDE10A	clinical_trial	PDE10A inhibitors failed	curated (Claude knowledge; unverified)
TAAR1	clinical_trial	ulotaront failed phase 3	curated (Claude knowledge; unverified)
CHRNA7	clinical_trial	alpha7 nicotinic; encenicline failed	curated (Claude knowledge; unverified)
HTR6	clinical_trial	5-HT6 antagonists for cognition	curated (Claude knowledge; unverified)
GLRA1	biology	glycine receptor	curated (Claude knowledge; unverified)
FOXP2	biology	language / neurodevelopment	curated (Claude knowledge; unverified)
DRD4	biology	dopamine D4; clozapine affinity	curated (Claude knowledge; unverified)
SLC6A3	biology	dopamine transporter	curated (Claude knowledge; unverified)
TH	biology	tyrosine hydroxylase	curated (Claude knowledge; unverified)
GRIN1	biology	NMDA receptor 1	curated (Claude knowledge; unverified)
DLG4	biology	PSD-95	curated (Claude knowledge; unverified)
BDNF	biology	neurotrophin	curated (Claude knowledge; unverified)
