symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
PADI4	HGNC:18368	23569	ENSG00000159339	peptidyl arginine deiminase 4	Q9UM07		PAD|PDI5|PDI4|PADI5	rheumatoid arthritis	candidate	0	GWAS	citrullination; East Asian association	curated (Claude knowledge; unverified)
CCL21	HGNC:10620	6366	ENSG00000137077	C-C motif chemokine ligand 21	O00585		SLC|exodus-2|TCA4|CKb9|6Ckine|ECL|SCYA21	rheumatoid arthritis	candidate	0	GWAS	lymphoid chemokine	curated (Claude knowledge; unverified)
TNFRSF14	HGNC:11912	8764	ENSG00000157873	TNF receptor superfamily member 14	Q92956		HVEM|ATAR|TR2|LIGHTR|HVEA|CD270	rheumatoid arthritis	candidate	0	GWAS	HVEM	curated (Claude knowledge; unverified)
IL7R	HGNC:6024	3575	ENSG00000168685	interleukin 7 receptor	P16871		CD127|IL7RA|lnc-IL7R|IL-7Ralpha|IL7Ralpha|sIL-7R|CDw127	rheumatoid arthritis	candidate	0	GWAS	IL-7 receptor	curated (Claude knowledge; unverified)
IRF5	HGNC:6120	3663	ENSG00000128604	interferon regulatory factor 5	Q13568		IRF-5	rheumatoid arthritis	candidate	0	GWAS	interferon regulatory factor	curated (Claude knowledge; unverified)
BTK	HGNC:1133	695	ENSG00000010671	Bruton tyrosine kinase	Q06187		ATK|XLA|PSCTK1|AGMX1|IMD1	rheumatoid arthritis	candidate	0	clinical_trial	BTK inhibitors phase 2 in RA	curated (Claude knowledge; unverified)
CSF2	HGNC:2434	1437	ENSG00000164400	colony stimulating factor 2	P04141		GM-CSF|GMCSF	rheumatoid arthritis	candidate	0	clinical_trial	GM-CSF; otilimab failed phase 3	curated (Claude knowledge; unverified)
IL2RB	HGNC:6009	3560	ENSG00000100385	interleukin 2 receptor subunit beta	P14784		CD122|IL15RB	rheumatoid arthritis	candidate	0	GWAS	T-cell	curated (Claude knowledge; unverified)
JAK3	HGNC:6193	3718	ENSG00000105639	Janus kinase 3	P52333		L-JAK|JAKL|LJAK|JAK3_HUMAN|JAK-3	rheumatoid arthritis	known	1	approved_drug	tofacitinib; peficitinib — approved for RA (JAK1/JAK3 / pan-JAK inhibitor)	curated (Claude knowledge, 2026-05; unverified)
IKBKB	HGNC:5960	3551	ENSG00000104365	inhibitor of nuclear factor kappa B kinase subunit beta	O14920		IKK2|NFKBIKB|IKK-beta|IKKB	rheumatoid arthritis	candidate	0	biology	IKK-beta; NF-kB	curated (Claude knowledge; unverified)
IL18	HGNC:5986	3606	ENSG00000150782	interleukin 18	Q14116		IGIF|IL1F4|IL-1g|IL-18	rheumatoid arthritis	candidate	0	biology	inflammasome cytokine	curated (Claude knowledge; unverified)
IRAK4	HGNC:17967	51135	ENSG00000198001	interleukin 1 receptor associated kinase 4	Q9NWZ3		NY-REN-64	rheumatoid arthritis	candidate	0	clinical_trial	IRAK4 inhibitors phase 2 in RA	curated (Claude knowledge; unverified)
CD40	HGNC:11919	958	ENSG00000101017	CD40 molecule	P25942		p50|Bp50|TNFRSF5	rheumatoid arthritis	candidate	0	GWAS	B-cell / APC co-stimulation	curated (Claude knowledge; unverified)
BCL9	HGNC:1008	607	ENSG00000116128	BCL9 transcription coactivator	O00512			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
NR2C1	HGNC:7971	7181	ENSG00000120798	nuclear receptor subfamily 2 group C member 1	P13056		TR2-11|TR2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
RASGRP1	HGNC:9878	10125	ENSG00000172575	RAS guanyl releasing protein 1	O95267		CalDAG-GEFII|RASGRP	rheumatoid arthritis	candidate	0	GWAS	T-cell Ras activator	curated (Claude knowledge; unverified)
CCDC39	HGNC:25244	339829	ENSG00000284862	coiled-coil domain 39 molecular ruler complex subunit	Q9UFE4		DKFZp434A128|CILD14|FAP59|CFAP59	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TNFAIP3	HGNC:11896	7128	ENSG00000118503	TNF alpha induced protein 3	P21580		A20|OTUD7C	rheumatoid arthritis	candidate	0	GWAS	A20; NF-kB negative regulator	curated (Claude knowledge; unverified)
TRAF1	HGNC:12031	7185	ENSG00000056558	TNF receptor associated factor 1	Q13077		EBI6	rheumatoid arthritis	candidate	0	GWAS	TRAF1-C5 locus	curated (Claude knowledge; unverified)
