symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
HLA-DRB1	HGNC:4948	3123	ENSG00000196126	major histocompatibility complex, class II, DR beta 1	P01911		HLA-DR1B	rheumatoid arthritis	candidate	0	GWAS	shared-epitope alleles; strongest RA locus	curated (Claude knowledge; unverified)
PTPN22	HGNC:9652	26191	ENSG00000134242	protein tyrosine phosphatase non-receptor type 22	Q9Y2R2		Lyp|Lyp1|Lyp2|PTPN8	rheumatoid arthritis	candidate	0	GWAS	R620W missense; T-cell signalling	curated (Claude knowledge; unverified)
STAT4	HGNC:11365	6775	ENSG00000138378	signal transducer and activator of transcription 4	Q14765			rheumatoid arthritis	candidate	0	GWAS	cytokine signalling	curated (Claude knowledge; unverified)
TRAF1	HGNC:12031	7185	ENSG00000056558	TNF receptor associated factor 1	Q13077		EBI6	rheumatoid arthritis	candidate	0	GWAS	TRAF1-C5 locus	curated (Claude knowledge; unverified)
C5	HGNC:1331	727	ENSG00000106804	complement C5	P01031		CPAMD4|C5a|C5b	rheumatoid arthritis	candidate	0	GWAS	TRAF1-C5 locus; complement	curated (Claude knowledge; unverified)
CTLA4	HGNC:2505	1493	ENSG00000163599	cytotoxic T-lymphocyte associated protein 4	P16410		CD152|CD|GSE|CTLA-4|CELIAC3|IDDM12	rheumatoid arthritis	candidate	0	GWAS	T-cell co-stimulation; abatacept is CTLA4-Ig	curated (Claude knowledge; unverified)
CD28	HGNC:1653	940	ENSG00000178562	CD28 molecule	P10747			rheumatoid arthritis	candidate	0	GWAS	T-cell co-stimulation	curated (Claude knowledge; unverified)
CD40	HGNC:11919	958	ENSG00000101017	CD40 molecule	P25942		p50|Bp50|TNFRSF5	rheumatoid arthritis	candidate	0	GWAS	B-cell / APC co-stimulation	curated (Claude knowledge; unverified)
TNFAIP3	HGNC:11896	7128	ENSG00000118503	TNF alpha induced protein 3	P21580		A20|OTUD7C	rheumatoid arthritis	candidate	0	GWAS	A20; NF-kB negative regulator	curated (Claude knowledge; unverified)
TNFRSF14	HGNC:11912	8764	ENSG00000157873	TNF receptor superfamily member 14	Q92956		HVEM|ATAR|TR2|LIGHTR|HVEA|CD270	rheumatoid arthritis	candidate	0	GWAS	HVEM	curated (Claude knowledge; unverified)
PADI4	HGNC:18368	23569	ENSG00000159339	peptidyl arginine deiminase 4	Q9UM07		PAD|PDI5|PDI4|PADI5	rheumatoid arthritis	candidate	0	GWAS	citrullination; East Asian association	curated (Claude knowledge; unverified)
