symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
AKT1	HGNC:391	207	ENSG00000142208	AKT serine/threonine kinase 1	P31749		RAC|PKB|PRKBA|AKT|RAC-alpha	prostate cancer	candidate	0	clinical_trial	capivasertib; phase 3 positive in PTEN-deficient disease	curated (Claude knowledge; unverified)
PTEN	HGNC:9588	5728	ENSG00000171862	phosphatase and tensin homolog	P60484		MMAC1|TEP1|PTEN1|BZS|MHAM	prostate cancer	candidate	0	somatic	frequently lost; PI3K pathway activation	curated (Claude knowledge; unverified)
TP53	HGNC:11998	7157	ENSG00000141510	tumor protein p53	P04637		p53|LFS1	prostate cancer	candidate	0	somatic	frequent in advanced disease	curated (Claude knowledge; unverified)
RB1	HGNC:9884	5925	ENSG00000139687	RB transcriptional corepressor 1	P06400		RB|PPP1R130|OSRC	prostate cancer	candidate	0	somatic	loss associated with neuroendocrine transformation	curated (Claude knowledge; unverified)
BRCA2	HGNC:1101	675	ENSG00000139618	BRCA2 DNA repair associated	P51587		FAD|FAD1|BRCC2|XRCC11|FANCD1|FACD|FANCD	prostate cancer	candidate	0	germline	homologous recombination; PARP-inhibitor sensitivity	curated (Claude knowledge; unverified)
BRCA1	HGNC:1100	672	ENSG00000012048	BRCA1 DNA repair associated	P38398		RNF53|BRCC1|PPP1R53|FANCS	prostate cancer	candidate	0	germline	homologous recombination	curated (Claude knowledge; unverified)
ATM	HGNC:795	472	ENSG00000149311	ATM serine/threonine kinase	Q13315		TEL1|TELO1|ATA|ATDC|ATC|ATD	prostate cancer	candidate	0	germline	DNA damage response	curated (Claude knowledge; unverified)
CDK12	HGNC:24224	51755	ENSG00000167258	cyclin dependent kinase 12	Q9NYV4		CRK7|CRKR|KIAA0904|CRKRS	prostate cancer	candidate	0	somatic	tandem duplications; immunotherapy sensitivity	curated (Claude knowledge; unverified)
SPOP	HGNC:11254	8405	ENSG00000121067	speckle type BTB/POZ protein	O43791		TEF2|BTBD32	prostate cancer	candidate	0	somatic	recurrent point mutations	curated (Claude knowledge; unverified)
FOXA1	HGNC:5021	3169	ENSG00000129514	forkhead box A1	P55317		HNF3A	prostate cancer	candidate	0	somatic	pioneer factor for AR	curated (Claude knowledge; unverified)
ERG	HGNC:3446	2078	ENSG00000157554	ETS transcription factor ERG	P11308		erg-3|p55	prostate cancer	candidate	0	somatic	TMPRSS2-ERG fusion	curated (Claude knowledge; unverified)
TMPRSS2	HGNC:11876	7113	ENSG00000184012	transmembrane serine protease 2	O15393		PRSS10	prostate cancer	candidate	0	somatic	fusion partner; androgen-regulated protease	curated (Claude knowledge; unverified)
MYC	HGNC:7553	4609	ENSG00000136997	MYC proto-oncogene, bHLH transcription factor	P01106		c-Myc|bHLHe39|MYCC	prostate cancer	candidate	0	somatic	amplification	curated (Claude knowledge; unverified)
KLK3	HGNC:6364	354	ENSG00000142515	kallikrein related peptidase 3	P07288		PSA|APS	prostate cancer	candidate	0	biology	PSA; androgen-regulated biomarker	curated (Claude knowledge; unverified)
KLK2	HGNC:6363	3817	ENSG00000167751	kallikrein related peptidase 2	P20151			prostate cancer	candidate	0	clinical_trial	radioligand / T-cell engager targets	curated (Claude knowledge; unverified)
NKX3-1	HGNC:7838	4824	ENSG00000167034	NK3 homeobox 1	Q99801		NKX3.1|BAPX2|NKX3A	prostate cancer	candidate	0	biology	prostate lineage; haploinsufficient tumour suppressor	curated (Claude knowledge; unverified)
HOXB13	HGNC:5112	10481	ENSG00000159184	homeobox B13	Q92826			prostate cancer	candidate	0	germline	G84E risk allele	curated (Claude knowledge; unverified)
CHEK2	HGNC:16627	11200	ENSG00000183765	checkpoint kinase 2	O96017		CDS1|CHK2|HuCds1|PP1425|bA444G7|RAD53	prostate cancer	candidate	0	germline	DNA damage checkpoint	curated (Claude knowledge; unverified)
MSH2	HGNC:7325	4436	ENSG00000095002	mutS homolog 2	P43246		HNPCC|HNPCC1|MSH-2|COCA1	prostate cancer	candidate	0	germline	mismatch repair; immunotherapy sensitivity	curated (Claude knowledge; unverified)
MSH6	HGNC:7329	2956	ENSG00000116062	mutS homolog 6	P52701		MSH-6|GTBP	prostate cancer	candidate	0	germline	mismatch repair	curated (Claude knowledge; unverified)
PIK3CB	HGNC:8976	5291	ENSG00000051382	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	P42338		PIK3C1	prostate cancer	candidate	0	biology	PI3K beta, dominant isoform in PTEN-null cells	curated (Claude knowledge; unverified)
MTOR	HGNC:3942	2475	ENSG00000198793	mechanistic target of rapamycin kinase	P42345		mTOR|RAFT1|RAPT1|FLJ44809|FRAP|FRAP2|FRAP1	prostate cancer	candidate	0	clinical_trial	PI3K/AKT/mTOR pathway	curated (Claude knowledge; unverified)
EZH2	HGNC:3527	2146	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit	Q15910		EZH1|ENX-1|KMT6|KMT6A	prostate cancer	candidate	0	clinical_trial	EZH2 inhibitors combined with AR blockade	curated (Claude knowledge; unverified)
CDK4	HGNC:1773	1019	ENSG00000135446	cyclin dependent kinase 4	P11802		PSK-J3	prostate cancer	candidate	0	clinical_trial	cell-cycle	curated (Claude knowledge; unverified)
AURKA	HGNC:11393	6790	ENSG00000087586	aurora kinase A	O14965		BTAK|AurA|STK7|ARK1|PPP1R47|AIK|STK15|STK6	prostate cancer	candidate	0	biology	neuroendocrine prostate cancer	curated (Claude knowledge; unverified)
DLL3	HGNC:2909	10683	ENSG00000090932	delta like canonical Notch ligand 3	Q9NYJ7		SCDO1	prostate cancer	candidate	0	clinical_trial	neuroendocrine prostate cancer; T-cell engagers	curated (Claude knowledge; unverified)
STEAP1	HGNC:11378	26872	ENSG00000164647	STEAP family member 1	Q9UHE8		PRSS24|STEAP	prostate cancer	candidate	0	clinical_trial	xaluritamig (T-cell engager)	curated (Claude knowledge; unverified)
PSCA	HGNC:9500	8000	ENSG00000167653	prostate stem cell antigen	O43653		lncPSCA	prostate cancer	candidate	0	clinical_trial	CAR-T / antibody target	curated (Claude knowledge; unverified)
TACSTD2	HGNC:11530	4070	ENSG00000184292	tumor associated calcium signal transducer 2	P09758		TROP2|GA733-1|EGP-1|M1S1	prostate cancer	candidate	0	clinical_trial	TROP2 antibody-drug conjugates	curated (Claude knowledge; unverified)
CD276	HGNC:19137	80381	ENSG00000103855	CD276 molecule	Q5ZPR3		B7-H3|B7H3|B7RP-2	prostate cancer	candidate	0	clinical_trial	B7-H3 antibody-drug conjugates	curated (Claude knowledge; unverified)
SRD5A2	HGNC:11285	6716	ENSG00000277893	steroid 5 alpha-reductase 2	P31213			prostate cancer	candidate	0	biology	5-alpha-reductase; androgen activation	curated (Claude knowledge; unverified)
HSD3B1	HGNC:5217	3283	ENSG00000203857	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	P14060		SDR11E1|HSDB3|HSD3B	prostate cancer	candidate	0	germline	1245C variant; extragonadal androgen synthesis	curated (Claude knowledge; unverified)
NR3C1	HGNC:7978	2908	ENSG00000113580	nuclear receptor subfamily 3 group C member 1	P04150		GR|GRL	prostate cancer	candidate	0	biology	glucocorticoid receptor; AR-blockade resistance	curated (Claude knowledge; unverified)
BCL2	HGNC:990	596	ENSG00000171791	BCL2 apoptosis regulator	P10415		Bcl-2|PPP1R50	prostate cancer	candidate	0	biology	anti-apoptotic	curated (Claude knowledge; unverified)
CDH1	HGNC:1748	999	ENSG00000039068	cadherin 1	P12830		uvomorulin|CD324|UVO	prostate cancer	candidate	0	biology	epithelial adhesion; invasion	curated (Claude knowledge; unverified)
SLCO2B1	HGNC:10962	11309	ENSG00000137491	solute carrier organic anion transporter family member 2B1	O94956		OATP-B|OATP2B1|SLC21A9	prostate cancer	candidate	0	biology	steroid uptake transporter; abiraterone response	curated (Claude knowledge; unverified)
