symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
TNF	HGNC:11892	7124	ENSG00000232810	tumor necrosis factor	P01375		TNFSF2|DIF|TNF-alpha|TNFA	rheumatoid arthritis	known	1	approved_drug	adalimumab; infliximab; etanercept; golimumab; certolizumab pegol — approved for RA (FDA/EMA/PMDA)	curated (Claude knowledge, 2026-05; unverified)
IL6R	HGNC:6019	3570	ENSG00000160712	interleukin 6 receptor	P08887		CD126|IL-6R|IL-1Ra|IL6RA|gp80	rheumatoid arthritis	known	1	approved_drug	tocilizumab; sarilumab — approved for RA	curated (Claude knowledge, 2026-05; unverified)
IL6	HGNC:6018	3569	ENSG00000136244	interleukin 6	P05231		IL-6|BSF2|HGF|HSF|IFNB2	rheumatoid arthritis	known	1	approved_drug	olokizumab — approved for RA in Russia only	curated (Claude knowledge, 2026-05; unverified)
JAK1	HGNC:6190	3716	ENSG00000162434	Janus kinase 1	P23458		JAK1A|JTK3|JAK1B	rheumatoid arthritis	known	1	approved_drug	upadacitinib; filgotinib; baricitinib; tofacitinib; peficitinib — approved for RA (JAK inhibitors; some also JAK2/JAK3)	curated (Claude knowledge, 2026-05; unverified)
JAK2	HGNC:6192	3717	ENSG00000096968	Janus kinase 2	O60674		JTK10	rheumatoid arthritis	known	1	approved_drug	baricitinib — approved for RA (JAK1/JAK2 inhibitor)	curated (Claude knowledge, 2026-05; unverified)
JAK3	HGNC:6193	3718	ENSG00000105639	Janus kinase 3	P52333		L-JAK|JAKL|LJAK|JAK3_HUMAN|JAK-3	rheumatoid arthritis	known	1	approved_drug	tofacitinib; peficitinib — approved for RA (JAK1/JAK3 / pan-JAK inhibitor)	curated (Claude knowledge, 2026-05; unverified)
CD80	HGNC:1700	941	ENSG00000121594	CD80 molecule	P33681		B7.1|B7-1|CD28LG|CD28LG1	rheumatoid arthritis	known	1	approved_drug	abatacept — approved for RA (CTLA4-Ig binds CD80/CD86)	curated (Claude knowledge, 2026-05; unverified)
CD86	HGNC:1705	942	ENSG00000114013	CD86 molecule	P42081		B7.2|B7-2|CD28LG2	rheumatoid arthritis	known	1	approved_drug	abatacept — approved for RA (CTLA4-Ig binds CD80/CD86)	curated (Claude knowledge, 2026-05; unverified)
MS4A1	HGNC:7315	931	ENSG00000156738	membrane spanning 4-domains A1	P11836		B1|Bp35|FMC7|CD20	rheumatoid arthritis	known	1	approved_drug	rituximab — approved for RA (after anti-TNF failure)	curated (Claude knowledge, 2026-05; unverified)
IL1R1	HGNC:5993	3554	ENSG00000115594	interleukin 1 receptor type 1	P14778		D2S1473|CD121A|IL1R|IL1RA	rheumatoid arthritis	known	1	approved_drug	anakinra — approved for RA (IL-1 receptor antagonist)	curated (Claude knowledge, 2026-05; unverified)
TNFSF11	HGNC:11926	8600	ENSG00000120659	TNF superfamily member 11	O14788		TRANCE|RANKL|OPGL|ODF|CD254	rheumatoid arthritis	known	1	approved_drug	denosumab — approved in Japan for inhibition of bone-erosion progression in RA	curated (Claude knowledge, 2026-05; unverified)
DHFR	HGNC:2861	1719	ENSG00000228716	dihydrofolate reductase	P00374		DHFR1	rheumatoid arthritis	known	1	approved_drug	methotrexate — conventional DMARD; enzyme target	curated (Claude knowledge, 2026-05; unverified)
DHODH	HGNC:2867	1723	ENSG00000102967	dihydroorotate dehydrogenase (quinone)	Q02127			rheumatoid arthritis	known	1	approved_drug	leflunomide — conventional DMARD; enzyme target	curated (Claude knowledge, 2026-05; unverified)
NR3C1	HGNC:7978	2908	ENSG00000113580	nuclear receptor subfamily 3 group C member 1	P04150		GR|GRL	rheumatoid arthritis	known	1	approved_drug	prednisolone; methylprednisolone — glucocorticoids used in RA	curated (Claude knowledge, 2026-05; unverified)
PTGS2	HGNC:9605	5743	ENSG00000073756	prostaglandin-endoperoxide synthase 2	P35354		COX2	rheumatoid arthritis	known	1	approved_drug	celecoxib; etoricoxib; NSAIDs — symptomatic treatment of RA	curated (Claude knowledge, 2026-05; unverified)
