symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
SLC7A13	HGNC:23092	157724	ENSG00000164893	solute carrier family 7 member 13	Q8TCU3		AGT-1|XAT2	cystinuria	candidate	0	biology	AGT1; proposed additional renal cystine transporter, candidate for unexplained cases	curated (Claude knowledge; unverified)
SLC3A2	HGNC:11026	6520	ENSG00000168003	solute carrier family 3 member 2	P08195		4T2HC|4F2|NACAE|CD98|CD98HC|4F2HC|MDU1	cystinuria	candidate	0	biology	4F2hc; heavy-chain partner of related amino-acid transporters	curated (Claude knowledge; unverified)
SLC7A11	HGNC:11059	23657	ENSG00000151012	solute carrier family 7 member 11	Q9UPY5		xCT	cystinuria	candidate	0	biology	xCT; cystine/glutamate antiporter (not renal reabsorption)	curated (Claude knowledge; unverified)
SLC7A10	HGNC:11058	56301	ENSG00000130876	solute carrier family 7 member 10	Q9NS82		asc-1	cystinuria	candidate	0	biology	asc-1; related light subunit	curated (Claude knowledge; unverified)
SLC7A7	HGNC:11065	9056	ENSG00000155465	solute carrier family 7 member 7	Q9UM01		y+LAT-1|Y+LAT1|LPI	cystinuria	candidate	0	biology	y+LAT1; dibasic amino-acid basolateral transporter (lysinuric protein intolerance)	curated (Claude knowledge; unverified)
SLC6A19	HGNC:27960	340024	ENSG00000174358	solute carrier family 6 member 19	Q695T7		B0AT1	cystinuria	candidate	0	biology	B0AT1; neutral amino-acid reabsorption (Hartnup)	curated (Claude knowledge; unverified)
SLC6A20	HGNC:30927	54716	ENSG00000163817	solute carrier family 6 member 20	Q9NP91		XT3|Xtrp3|SIT1|IMINO	cystinuria	candidate	0	biology	SIT1; proline/glycine reabsorption (iminoglycinuria)	curated (Claude knowledge; unverified)
SLC36A2	HGNC:18762	153201	ENSG00000186335	solute carrier family 36 member 2	Q495M3		PAT2|tramdorin|TRAMD1	cystinuria	candidate	0	biology	PAT2; iminoglycinuria	curated (Claude knowledge; unverified)
CTNS	HGNC:2518	1497	ENSG00000040531	cystinosin, lysosomal cystine transporter	O60931		CTNS-LSB|PQLC4|SLC66A4	cystinuria	candidate	0	biology	lysosomal cystine transporter (cystinosis, a different disease; often confused)	curated (Claude knowledge; unverified)
SLC1A1	HGNC:10939	6505	ENSG00000106688	solute carrier family 1 member 1	P43005		EAAC1|EAAT3|hEAAC1	cystinuria	candidate	0	biology	EAAT3; renal dicarboxylic amino-acid transporter	curated (Claude knowledge; unverified)
CLTRN	HGNC:29437	57393	ENSG00000147003	collectrin, amino acid transport regulator	Q9HBJ8		NX17|TMEM27	cystinuria	candidate	0	biology	collectrin; required for renal amino-acid transporter expression	curated (Claude knowledge; unverified)
ACE2	HGNC:13557	59272	ENSG00000130234	angiotensin converting enzyme 2	Q9BYF1		ACEH	cystinuria	candidate	0	biology	chaperone for intestinal B0AT1	curated (Claude knowledge; unverified)
