symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
A1BG	HGNC:5	1	ENSG00000121410	alpha-1-B glycoprotein	P04217								
A1CF	HGNC:24086	29974	ENSG00000148584	APOBEC1 complementation factor	Q9NQ94		ACF|ASP|ACF64|ACF65|APOBEC1CF						
A2M	HGNC:7	2	ENSG00000175899	alpha-2-macroglobulin	P01023		FWP007|S863-7|CPAMD5						
A2ML1	HGNC:23336	144568	ENSG00000166535	alpha-2-macroglobulin like 1	A8K2U0		FLJ25179|p170|CPAMD9						
A3GALT2	HGNC:30005	127550	ENSG00000184389	alpha 1,3-galactosyltransferase 2	U3KPV4		IGBS3S|IGB3S|A3GALT2P						
A4GALT	HGNC:18149	53947	ENSG00000128274	alpha 1,4-galactosyltransferase (P1PK blood group)	Q9NPC4		A14GALT|Gb3S|P(k)|P1						
A4GNT	HGNC:17968	51146	ENSG00000118017	alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3		alpha4GnT						
AAAS	HGNC:13666	8086	ENSG00000094914	aladin WD repeat nucleoporin	Q9NRG9								
AACS	HGNC:21298	65985	ENSG00000081760	acetoacetyl-CoA synthetase	Q86V21		FLJ12389|SUR-5|ACSF1						
AADAC	HGNC:17	13	ENSG00000114771	arylacetamide deacetylase	P22760		DAC|CES5A1						
AADACL2	HGNC:24427	344752	ENSG00000197953	arylacetamide deacetylase like 2	Q6P093		MGC72001						
AADACL3	HGNC:32037	126767	ENSG00000188984	arylacetamide deacetylase like 3	Q5VUY0		OTTHUMG00000001887						
AADACL4	HGNC:32038	343066	ENSG00000204518	arylacetamide deacetylase like 4	Q5VUY2		OTTHUMG00000001889						
AADAT	HGNC:17929	51166	ENSG00000109576	aminoadipate aminotransferase	Q8N5Z0		KATII|KAT2|KYAT2						
AAGAB	HGNC:25662	79719	ENSG00000103591	alpha and gamma adaptin binding protein	Q6PD74		FLJ11506|p34						
AAK1	HGNC:19679	22848	ENSG00000115977	AP2 associated kinase 1	Q2M2I8		KIAA1048|DKFZp686K16132						
AAMDC	HGNC:30205	28971	ENSG00000087884	adipogenesis associated Mth938 domain containing	Q9H7C9		PTD015|FLJ21035|CK067|C11orf67						
AAMP	HGNC:18	14	ENSG00000127837	angio associated migratory cell protein	Q13685								
AANAT	HGNC:19	15	ENSG00000129673	aralkylamine N-acetyltransferase	Q16613		SNAT						
AAR2	HGNC:15886	25980	ENSG00000131043	AAR2 splicing factor	Q9Y312		bA234K24.2|C20orf4						
AARD	HGNC:33842	441376	ENSG00000205002	alanine and arginine rich domain containing protein	Q4LEZ3		LOC441376|C8orf85						
AARS1	HGNC:20	16	ENSG00000090861	alanyl-tRNA synthetase 1	P49588		CMT2N|AlaRS|AARS						
AARS2	HGNC:21022	57505	ENSG00000124608	alanyl-tRNA synthetase 2, mitochondrial	Q5JTZ9		KIAA1270|bA444E17.1|AARSL						
AARSD1	HGNC:28417	80755	ENSG00000266967	alanyl-tRNA synthetase domain containing 1	Q9BTE6		MGC2744|AlaXp						
AASDH	HGNC:23993	132949	ENSG00000157426	aminoadipate-semialdehyde dehydrogenase	Q4L235		NRPS998|LYS2|ACSF4						
AASDHPPT	HGNC:14235	60496	ENSG00000149313	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Q9NRN7		LYS5|CGI-80|AASD-PPT|ACPS						
AASS	HGNC:17366	10157	ENSG00000008311	aminoadipate-semialdehyde synthase	Q9UDR5		LORSDH|LKRSDH|LKR/SDH						
AATF	HGNC:19235	26574	ENSG00000275700	apoptosis antagonizing transcription factor	Q9NY61		DED|CHE-1|CHE1|BFR2						
ABAT	HGNC:23	18	ENSG00000183044	4-aminobutyrate aminotransferase	P80404		GABAT|GABA-T						
ABCA1	HGNC:29	19	ENSG00000165029	ATP binding cassette subfamily A member 1	O95477		TGD|ABC1|HDLDT1						
ABCA2	HGNC:32	20	ENSG00000107331	ATP binding cassette subfamily A member 2	Q9BZC7		ABC2						
ABCA3	HGNC:33	21	ENSG00000167972	ATP binding cassette subfamily A member 3	Q99758		ABC-C|EST111653|LBM180|ABC3						
ABCA4	HGNC:34	24	ENSG00000198691	ATP binding cassette subfamily A member 4	P78363		FFM|ARMD2|CORD3|STGD1|ABCR|RP19|STGD						
ABCA5	HGNC:35	23461	ENSG00000154265	ATP binding cassette subfamily A member 5	Q8WWZ7		EST90625						
ABCA6	HGNC:36	23460	ENSG00000154262	ATP binding cassette subfamily A member 6	Q8N139		EST155051						
ABCA7	HGNC:37	10347	ENSG00000064687	ATP binding cassette subfamily A member 7	Q8IZY2		ABCX						
ABCA8	HGNC:38	10351	ENSG00000141338	ATP binding cassette subfamily A member 8	O94911		KIAA0822						
ABCA9	HGNC:39	10350	ENSG00000154258	ATP binding cassette subfamily A member 9	Q8IUA7		EST640918						
ABCA10	HGNC:30	10349	ENSG00000154263	ATP binding cassette subfamily A member 10	Q8WWZ4		EST698739						
ABCA12	HGNC:14637	26154	ENSG00000144452	ATP binding cassette subfamily A member 12	Q86UK0		DKFZP434G232|LI2|ICR2B						
ABCA13	HGNC:14638	154664	ENSG00000179869	ATP binding cassette subfamily A member 13	Q86UQ4		FLJ33876|FLJ33951						
ABCB1	HGNC:40	5243	ENSG00000085563	ATP binding cassette subfamily B member 1	P08183		P-gp|CD243|GP170|ABC20|p-170|PGY1|PGY1|MDR1|CLCS						
ABCB4	HGNC:45	5244	ENSG00000005471	ATP binding cassette subfamily B member 4	P21439		MDR2|PFIC-3|GBD1|PGY3|MDR3						
ABCB5	HGNC:46	340273	ENSG00000004846	ATP binding cassette subfamily B member 5	Q2M3G0		EST422562|ABCB5beta|ABCB5alpha						
ABCB6	HGNC:47	10058	ENSG00000115657	ATP binding cassette subfamily B member 6 (LAN blood group)	Q9NP58		EST45597|umat|MTABC3						
ABCB7	HGNC:48	22	ENSG00000131269	ATP binding cassette subfamily B member 7	O75027		EST140535|Atm1p|ASAT|ABC7						
ABCB8	HGNC:49	11194	ENSG00000197150	ATP binding cassette subfamily B member 8	Q9NUT2		EST328128|M-ABC1|MABC1|MITOSUR						
ABCB9	HGNC:50	23457	ENSG00000150967	ATP binding cassette subfamily B member 9	Q9NP78		EST122234						
ABCB10	HGNC:41	23456	ENSG00000135776	ATP binding cassette subfamily B member 10	Q9NRK6		EST20237|M-ABC2|MTABC2						
ABCB11	HGNC:42	8647	ENSG00000073734	ATP binding cassette subfamily B member 11	O95342		ABC16|SPGP|PFIC-2|PGY4|BSEP|PFIC2						
ABCC1	HGNC:51	4363	ENSG00000103222	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	P33527		GS-X|MRP|MRP1						
ABCC2	HGNC:53	1244	ENSG00000023839	ATP binding cassette subfamily C member 2	Q92887		DJS|MRP2|cMRP|CMOAT						
ABCC3	HGNC:54	8714	ENSG00000108846	ATP binding cassette subfamily C member 3	O15438		MRP3|cMOAT2|EST90757|MLP2|MOAT-D						
ABCC4	HGNC:55	10257	ENSG00000125257	ATP binding cassette subfamily C member 4 (PEL blood group)	O15439		MRP4|EST170205|MOAT-B|MOATB						
ABCC5	HGNC:56	10057	ENSG00000114770	ATP binding cassette subfamily C member 5	O15440		MRP5|SMRP|EST277145|MOAT-C						
ABCC6	HGNC:57	368	ENSG00000091262	ATP binding cassette subfamily C member 6	O95255		MRP6|EST349056|MLP1|URG7|ARA|PXE						
ABCC8	HGNC:59	6833	ENSG00000006071	ATP binding cassette subfamily C member 8	Q09428		HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2|SUR|HRINS						
ABCC9	HGNC:60	10060	ENSG00000069431	ATP binding cassette subfamily C member 9	O60706		SUR2|CMD1O						
ABCC10	HGNC:52	89845	ENSG00000124574	ATP binding cassette subfamily C member 10	Q5T3U5		EST182763|MRP7|SIMRP7						
ABCC11	HGNC:14639	85320	ENSG00000121270	ATP binding cassette subfamily C member 11	Q96J66		MRP8						
ABCC12	HGNC:14640	94160	ENSG00000140798	ATP binding cassette subfamily C member 12	Q96J65		MRP9						
ABCD1	HGNC:61	215	ENSG00000101986	ATP binding cassette subfamily D member 1	P33897		AMN|ALDP|adrenoleukodystrophy|ALD						
ABCD2	HGNC:66	225	ENSG00000173208	ATP binding cassette subfamily D member 2	Q9UBJ2		ALDR|ALDRP|ALDL1						
ABCD3	HGNC:67	5825	ENSG00000117528	ATP binding cassette subfamily D member 3	P28288		PMP70|ZWS2|PXMP1						
ABCD4	HGNC:68	5826	ENSG00000119688	ATP binding cassette subfamily D member 4	O14678		PMP69|P70R|EST352188|PXMP1L						
ABCE1	HGNC:69	6059	ENSG00000164163	ATP binding cassette subfamily E member 1	P61221		RLI|OABP|RLI1|RNASEL1|RNASELI|RNS4I						
ABCF1	HGNC:70	23	ENSG00000204574	ATP binding cassette subfamily F member 1	Q8NE71		EST123147|ABC50						
ABCF2	HGNC:71	10061	ENSG00000033050	ATP binding cassette subfamily F member 2	Q9UG63		EST133090|ABC28|M-ABC1|HUSSY-18						
ABCF3	HGNC:72	55324	ENSG00000161204	ATP binding cassette subfamily F member 3	Q9NUQ8		EST201864						
ABCG1	HGNC:73	9619	ENSG00000160179	ATP binding cassette subfamily G member 1	P45844		ABC8						
ABCG2	HGNC:74	9429	ENSG00000118777	ATP binding cassette subfamily G member 2 (JR blood group)	Q9UNQ0		EST157481|MXR|BCRP|ABCP|CD338						
ABCG4	HGNC:13884	64137	ENSG00000172350	ATP binding cassette subfamily G member 4	Q9H172		WHITE2						
ABCG5	HGNC:13886	64240	ENSG00000138075	ATP binding cassette subfamily G member 5	Q9H222		STSL						
ABCG8	HGNC:13887	64241	ENSG00000143921	ATP binding cassette subfamily G member 8	Q9H221		GBD4						
ABHD1	HGNC:17553	84696	ENSG00000143994	abhydrolase domain containing 1	Q96SE0		LABH1|FLJ36128						
ABHD2	HGNC:18717	11057	ENSG00000140526	abhydrolase domain containing 2, acylglycerol lipase	P08910		LABH2						
ABHD3	HGNC:18718	171586	ENSG00000158201	abhydrolase domain containing 3, phospholipase	Q8WU67		LABH3						
ABHD4	HGNC:20154	63874	ENSG00000100439	abhydrolase domain containing 4, N-acyl phospholipase B			FLJ12816						
ABHD5	HGNC:21396	51099	ENSG00000011198	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	Q8WTS1		CGI-58|NCIE2						
ABHD6	HGNC:21398	57406	ENSG00000163686	abhydrolase domain containing 6, acylglycerol lipase	Q9BV23								
ABHD8	HGNC:23759	79575	ENSG00000127220	abhydrolase domain containing 8	Q96I13		FLJ11743|MGC14280|MGC2512						
ABHD10	HGNC:25656	55347	ENSG00000144827	abhydrolase domain containing 10, depalmitoylase	Q9NUJ1		FLJ11342						
ABHD11	HGNC:16407	83451	ENSG00000106077	abhydrolase domain containing 11	Q8NFV4		PP1226|WBSCR21						
