symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
SLC2A11	HGNC:14239	66035	ENSG00000133460	solute carrier family 2 member 11	Q9BYW1		GLUT11	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC38A4	HGNC:14679	55089	ENSG00000139209	solute carrier family 38 member 4	Q969I6		PAAT|NAT3|ATA3|SNAT4	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
WTAP	HGNC:16846	9589	ENSG00000146457	WT1 associated protein	Q15007		KIAA0105|MGC3925|Mum2	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC45A1	HGNC:17939	50651	ENSG00000162426	solute carrier family 45 member 1	Q9Y2W3		DNB5	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35A5	HGNC:20792	55032	ENSG00000138459	solute carrier family 35 member A5	Q9BS91		FLJ20730	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35F4	HGNC:19845	341880	ENSG00000151812	solute carrier family 35 member F4	A4IF30		FLJ37712|C14orf36	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
LRRC3C	HGNC:40034	100505591	ENSG00000204913	leucine rich repeat containing 3C	A6NJW4			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC25A11	HGNC:10981	8402	ENSG00000108528	solute carrier family 25 member 11	Q02978		OGC|SLC20A4	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
FRG2	HGNC:19136	448831	ENSG00000205097	FSHD region gene 2	Q64ET8		FRG2A	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
FHAD1	HGNC:29408	114827	ENSG00000142621	forkhead associated phosphopeptide binding domain 1	B1AJZ9		KIAA1937	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC17A9	HGNC:16192	63910	ENSG00000101194	solute carrier family 17 member 9	Q9BYT1		FLJ23412|VNUT|C20orf59	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
HOXB13	HGNC:5112	10481	ENSG00000159184	homeobox B13	Q92826			prostate cancer	candidate	0	germline	G84E risk allele	curated (Claude knowledge; unverified)
SLC43A2	HGNC:23087	124935	ENSG00000167703	solute carrier family 43 member 2	Q8N370		MGC34680	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
H3C6	HGNC:4769	8353	ENSG00000274750	H3 clustered histone 6	P68431		H3/d|H3.1|H3FD|HIST1H3E	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC1A7	HGNC:10945	6512	ENSG00000162383	solute carrier family 1 member 7	O00341		EAAT5	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC18A3	HGNC:10936	6572	ENSG00000187714	solute carrier family 18 member A3	Q16572		VACHT	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
MLH3	HGNC:7128	27030	ENSG00000119684	mutL homolog 3	Q9UHC1			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC6A13	HGNC:11046	6540	ENSG00000010379	solute carrier family 6 member 13	Q9NSD5		GAT2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC26A11	HGNC:14471	284129	ENSG00000181045	solute carrier family 26 member 11	Q86WA9			prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
STK38	HGNC:17847	11329	ENSG00000112079	serine/threonine kinase 38	Q15208		NDR|NDR1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
CDC37	HGNC:1735	11140	ENSG00000105401	cell division cycle 37, HSP90 cochaperone	Q16543		P50CDC37	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
LCE3E	HGNC:29463	353145	ENSG00000185966	late cornified envelope 3E	Q5T5B0		LEP17	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC30A2	HGNC:11013	7780	ENSG00000158014	solute carrier family 30 member 2	Q9BRI3		ZNT2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
LTC4S	HGNC:6719	4056	ENSG00000213316	leukotriene C4 synthase	Q16873		MGC33147	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
TMTC4	HGNC:25904	84899	ENSG00000125247	transmembrane O-mannosyltransferase targeting cadherins 4	Q5T4D3		FLJ14624|FLJ22153	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
TNMD	HGNC:17757	64102	ENSG00000000005	tenomodulin	Q9H2S6		myodulin|ChM1L|tendin|TEM|BRICD4	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
