symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
KCNAB3	HGNC:6230	9196	ENSG00000170049	potassium voltage-gated channel subfamily A regulatory beta subunit 3	O43448		AKR6A9|KCNA3B	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
ATG4A	HGNC:16489	115201	ENSG00000101844	autophagy related 4A cysteine peptidase	Q8WYN0		AUTL2|APG4A	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
GLI2	HGNC:4318	2736	ENSG00000074047	GLI family zinc finger 2	P10070		THP2|HPE9|THP1	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
CD99L2	HGNC:18237	83692	ENSG00000102181	CD99 molecule like 2	Q8TCZ2		CD99B|MIC2L1	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
BCL7B	HGNC:1005	9275	ENSG00000106635	BAF chromatin remodeling complex subunit BCL7B	Q9BQE9		SMARCJ2	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
EXOSC2	HGNC:17097	23404	ENSG00000130713	exosome component 2	Q13868		hRrp4p|Rrp4p|RRP4|p7	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
POLD3	HGNC:20932	10714	ENSG00000077514	DNA polymerase delta 3, accessory subunit	Q15054		P66|KIAA0039|P68|PPP1R128	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
OR8J1	HGNC:14855	219477	ENSG00000172487	olfactory receptor family 8 subfamily J member 1	Q8NGP2			schizophrenia	random	0			HGNC protein-coding, random seed 20260921
GGTA1	HGNC:4253	2681	ENSG00000204136	glycoprotein alpha-galactosyltransferase 1 (inactive)	Q4G0N0		GLYT2|GGTA|GGTA1P	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
NUBPL	HGNC:20278	80224	ENSG00000151413	NUBP iron-sulfur cluster assembly factor, mitochondrial	Q8TB37		FLJ12660|IND1|huInd1|C14orf127	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
NPY5R	HGNC:7958	4889	ENSG00000164129	neuropeptide Y receptor Y5	Q15761		NPYR5	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
CCDC40	HGNC:26090	55036	ENSG00000141519	coiled-coil domain 40 molecular ruler complex subunit	Q4G0X9		FLJ20753|KIAA1640|FLJ32021|CILD15|FAP172|CFAP172	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
PCBD2	HGNC:24474	84105	ENSG00000132570	pterin-4 alpha-carbinolamine dehydratase 2	Q9H0N5		DCOHM|DCOH2	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
MEGF9	HGNC:3234	1955	ENSG00000106780	multiple EGF like domains 9	Q9H1U4		EGFL5	schizophrenia	random	0			HGNC protein-coding, random seed 20260921
