symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
KCNE4	HGNC:6244	23704	ENSG00000152049	potassium voltage-gated channel subfamily E regulatory subunit 4	Q8WWG9		MiRP3	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ATG4C	HGNC:16040	84938	ENSG00000125703	autophagy related 4C cysteine peptidase	Q96DT6		FLJ14867|AUTL3|AUTL1|APG4C	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GLIPR1	HGNC:17001	11010	ENSG00000139278	GLI pathogenesis related 1	P48060		RTVP1|GliPR	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CDC20B	HGNC:24222	166979	ENSG00000164287	cell division cycle 20B	Q86Y33		FLJ37927	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
BCL9	HGNC:1008	607	ENSG00000116128	BCL9 transcription coactivator	O00512			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
EXOSC5	HGNC:24662	56915	ENSG00000077348	exosome component 5	Q9NQT4		hRrp46p|Rrp46p|RRP46|RRP41B|MGC12901|p12B	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
POLGARF	HGNC:56246	125316803	ENSG00000291307	POLG alternative reading frame	A0A3B3IS91		ORF-Y	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
OR8U8	HGNC:27538	504189	ENSG00000262315	olfactory receptor family 8 subfamily U member 8	P0C7N1			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GGTLC3	HGNC:33426	728226	ENSG00000274252	gamma-glutamyltransferase light chain family member 3	B5MD39			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
NUDT1	HGNC:8048	4521	ENSG00000106268	nudix hydrolase 1	P36639		MTH1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
NR2C1	HGNC:7971	7181	ENSG00000120798	nuclear receptor subfamily 2 group C member 1	P13056		TR2-11|TR2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CCDC39	HGNC:25244	339829	ENSG00000284862	coiled-coil domain 39 molecular ruler complex subunit	Q9UFE4		DKFZp434A128|CILD14|FAP59|CFAP59	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PCDH11Y	HGNC:15813	83259	ENSG00000099715	protocadherin 11 Y-linked	Q9BZA8		PCDHY|PCDH22	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MELK	HGNC:16870	9833	ENSG00000165304	maternal embryonic leucine zipper kinase	Q14680		KIAA0175	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CCDC18	HGNC:30370	343099	ENSG00000122483	coiled-coil domain containing 18	Q5T9S5		NY-SAR-41	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
RAD21	HGNC:9811	5885	ENSG00000164754	RAD21 cohesin complex component	O60216		KIAA0078|hHR21|SCC1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ZDHHC16	HGNC:20714	84287	ENSG00000171307	zDHHC palmitoyltransferase 16	Q969W1		APH2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GPR35	HGNC:4492	2859	ENSG00000178623	G protein-coupled receptor 35	Q9HC97			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ARC	HGNC:648	23237	ENSG00000198576	activity regulated cytoskeleton associated protein	Q7LC44		KIAA0278|Arg3.1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
UTP14C	HGNC:20321	9724	ENSG00000253797	UTP14C small subunit processome component	Q5TAP6		2700066J21Rik|KIAA0266	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TEKT5	HGNC:26554	146279	ENSG00000153060	tektin 5	Q96M29		FLJ32871|CT149	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GPR179	HGNC:31371	440435	ENSG00000277399	G protein-coupled receptor 179	Q6PRD1		CSNB1E|GPR158L1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
RPGR	HGNC:10295	6103	ENSG00000156313	retinitis pigmentosa GTPase regulator	Q92834		CORDX1|CRD|RP3|RP15|COD1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MED21	HGNC:11473	9412	ENSG00000152944	mediator complex subunit 21	Q13503		SRB7|SURB7	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SLTM	HGNC:20709	79811	ENSG00000137776	SAFB like transcription modulator	Q9NWH9		Met|FLJ13213	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TTYH3	HGNC:22222	80727	ENSG00000136295	tweety family member 3	Q9C0H2		KIAA1691	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ZNF587B	HGNC:37142	100293516	ENSG00000269343	zinc finger protein 587B	E7ETH6			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TKT	HGNC:11834	7086	ENSG00000163931	transketolase	P29401			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DEFB114	HGNC:18095	245928	ENSG00000177684	defensin beta 114	Q30KQ6		DEFB-14	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ASL	HGNC:746	435	ENSG00000126522	argininosuccinate lyase	P04424		ASAL	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SAMD5	HGNC:21180	389432	ENSG00000203727	sterile alpha motif domain containing 5	Q5TGI4		dJ875H10.1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
C1orf167	HGNC:25262	284498	ENSG00000215910	chromosome 1 open reading frame 167	Q5SNV9		DKFZp434E1410|RP11-56N19.2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
LLPH	HGNC:28229	84298	ENSG00000139233	LLP homolog, long-term synaptic facilitation factor	Q9BRT6		MGC14817|hLLP|C12orf31	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ZNF846	HGNC:27260	162993	ENSG00000196605	zinc finger protein 846	Q147U1			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
RPA4	HGNC:30305	29935	ENSG00000204086	replication protein A4	Q13156		HSU24186	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
XKR9	HGNC:20937	389668	ENSG00000221947	XK related 9	Q5GH70			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ZNF169	HGNC:12957	169841	ENSG00000175787	zinc finger protein 169	Q14929		MGC51961	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TAF11L10	HGNC:53853	112488738	ENSG00000284356	TATA-box binding protein associated factor 11 like 10	P0DW14			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GTF2H5	HGNC:21157	404672	ENSG00000272047	general transcription factor IIH subunit 5	Q6ZYL4		FLJ30544|bA120J8.2|TTD-A|TFB5|TFIIH|TTDA|C6orf175|TTD	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GALNT16	HGNC:23233	57452	ENSG00000100626	polypeptide N-acetylgalactosaminyltransferase 16	Q8N428		KIAA1130|GalNAc-T16|GALNTL1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
FGF10	HGNC:3666	2255	ENSG00000070193	fibroblast growth factor 10	O15520			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CADM4	HGNC:30825	199731	ENSG00000105767	cell adhesion molecule 4	Q8NFZ8		TSLL2|Necl-4|SynCAM4|IGSF4C	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DSCAM	HGNC:3039	1826	ENSG00000171587	DS cell adhesion molecule	O60469		CHD2-42|CHD2-52	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TRMT10B	HGNC:26454	158234	ENSG00000165275	tRNA methyltransferase 10B	Q6PF06		FLJ31455|bA3J10.9|RG9MTD3	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
NQO1	HGNC:2874	1728	ENSG00000181019	NAD(P)H quinone dehydrogenase 1	P15559		DHQU|QR1|DTD|NMOR1|DIA4	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PSMD12	HGNC:9557	5718	ENSG00000197170	proteasome 26S subunit, non-ATPase 12	O00232		p55|Rpn5	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
