symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
IGF1	HGNC:5464	3479	ENSG00000017427	insulin like growth factor 1	P05019		IGF1A|IGFI|IGF-I|IGF	achondroplasia	candidate	0	clinical_trial	growth axis	curated (Claude knowledge; unverified)
SLC35F2	HGNC:23615	54733	ENSG00000110660	solute carrier family 35 member F2	Q8IXU6		FLJ13018	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SNAI1	HGNC:11128	6615	ENSG00000124216	snail family transcriptional repressor 1	O95863		SNA|SLUGH2|SNAH|SNAIL1|SNAIL	achondroplasia	candidate	0	biology	proposed effector of the causal receptor in chondrocytes	curated (Claude knowledge; unverified)
SLC18A2	HGNC:10935	6571	ENSG00000165646	solute carrier family 18 member A2	Q05940		SVMT|SVAT|VAT2|VMAT2	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A47	HGNC:20115	283600	ENSG00000140107	solute carrier family 25 member 47	Q6Q0C1		HDCMP|C14orf68	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC29A2	HGNC:11004	3177	ENSG00000174669	solute carrier family 29 member 2	Q14542		DER12|ENT2|HNP36	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC22A14	HGNC:8495	9389	ENSG00000144671	solute carrier family 22 member 14	Q9Y267		OCTL2|ORCTL4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC52A2	HGNC:30224	79581	ENSG00000185803	solute carrier family 52 member 2	Q9HAB3		FLJ11856|PAR1|GPCR41|D15Ertd747e|RFVT2|hRFT3|RFT3|HuPAR-1|GPR172A	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
NPR3	HGNC:7945	4883	ENSG00000113389	natriuretic peptide receptor 3	P17342		GUCY2B|FLJ14054|NPRC|ANPRC|C5orf23	achondroplasia	candidate	0	biology	clearance receptor for the ligand	curated (Claude knowledge; unverified)
SLC26A6	HGNC:14472	65010	ENSG00000225697	solute carrier family 26 member 6	Q9BXS9		DKFZp586E1422	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35G4	HGNC:31043	646000	ENSG00000236396	solute carrier family 35 member G4	P0C7Q5		AMAC1L1|SLC35G4P	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35D3	HGNC:15621	340146	ENSG00000182747	solute carrier family 35 member D3	Q5M8T2		FRCL1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
COL10A1	HGNC:2185	1300	ENSG00000123500	collagen type X alpha 1 chain	Q03692			achondroplasia	candidate	0	biology	hypertrophic chondrocyte marker	curated (Claude knowledge; unverified)
SLC22A31	HGNC:27091	146429	ENSG00000259803	solute carrier family 22 member 31	A6NKX4			achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC2A14	HGNC:18301	144195	ENSG00000173262	solute carrier family 2 member 14	Q8TDB8		GLUT14|SLC2A3P3	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC16A7	HGNC:10928	9194	ENSG00000118596	solute carrier family 16 member 7	O60669		MCT2	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC45A3	HGNC:8642	85414	ENSG00000158715	solute carrier family 45 member 3	Q96JT2		IPCA-6|prostein|IPCA-2|IPCA-8|PCANAP6|PCANAP2|PCANAP8	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
MMP13	HGNC:7159	4322	ENSG00000137745	matrix metallopeptidase 13	P45452		CLG3	achondroplasia	candidate	0	biology	cartilage remodelling	curated (Claude knowledge; unverified)
PTH1R	HGNC:9608	5745	ENSG00000160801	parathyroid hormone 1 receptor	Q03431		PTHR|PTHR1	achondroplasia	candidate	0	biology	growth-plate differentiation control	curated (Claude knowledge; unverified)
SLC35D1	HGNC:20800	23169	ENSG00000116704	solute carrier family 35 member D1	Q9NTN3		UGTREL7|KIAA0260	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC5A9	HGNC:22146	200010	ENSG00000117834	solute carrier family 5 member 9	Q2M3M2		SGLT4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC38A4	HGNC:14679	55089	ENSG00000139209	solute carrier family 38 member 4	Q969I6		PAAT|NAT3|ATA3|SNAT4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC26A4	HGNC:8818	5172	ENSG00000091137	solute carrier family 26 member 4	O43511		PDS|DFNB4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC30A3	HGNC:11014	7781	ENSG00000115194	solute carrier family 30 member 3	Q99726		ZNT3	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35C1	HGNC:20197	55343	ENSG00000181830	solute carrier family 35 member C1	Q96A29		FUCT1|FLJ11320	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC1A7	HGNC:10945	6512	ENSG00000162383	solute carrier family 1 member 7	O00341		EAAT5	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
STAT1	HGNC:11362	6772	ENSG00000115415	signal transducer and activator of transcription 1	P42224		STAT91|ISGF-3	achondroplasia	candidate	0	biology	proposed mediator of reduced chondrocyte proliferation	curated (Claude knowledge; unverified)
SLC45A2	HGNC:16472	51151	ENSG00000164175	solute carrier family 45 member 2	Q9UMX9		AIM-1|OCA4|MATP	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
GH1	HGNC:4261	2688	ENSG00000259384	growth hormone 1	P01241		hGH|GH-N|GHN|GH|hGH-N	achondroplasia	known	1	approved_drug	somatropin — approved in Japan for short stature in achondroplasia	curated (Claude knowledge, 2026-05; unverified)
SLC4A4	HGNC:11030	8671	ENSG00000080493	solute carrier family 4 member 4	Q9Y6R1		NBC1|HNBC1|NBC2|pNBC|hhNMC|kNBC1|KNBC|NBCe1|SLC4A5	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
