symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
NPPC	HGNC:7941	4880	ENSG00000163273	natriuretic peptide C	P23582		CNP	achondroplasia	candidate	0	biology	ligand of NPR2; endogenous counter-regulator of the causal pathway	curated (Claude knowledge; unverified)
NPR3	HGNC:7945	4883	ENSG00000113389	natriuretic peptide receptor 3	P17342		GUCY2B|FLJ14054|NPRC|ANPRC|C5orf23	achondroplasia	candidate	0	biology	clearance receptor for the ligand	curated (Claude knowledge; unverified)
MAPK1	HGNC:6871	5594	ENSG00000100030	mitogen-activated protein kinase 1	P28482		ERK|ERK2|p41mapk|MAPK2|PRKM2|PRKM1	achondroplasia	candidate	0	biology	ERK2; downstream signalling in growth-plate chondrocytes	curated (Claude knowledge; unverified)
MAPK3	HGNC:6877	5595	ENSG00000102882	mitogen-activated protein kinase 3	P27361		ERK1|p44mapk|p44erk1|ERK-1|PRKM3	achondroplasia	candidate	0	biology	ERK1	curated (Claude knowledge; unverified)
MAP2K1	HGNC:6840	5604	ENSG00000169032	mitogen-activated protein kinase kinase 1	Q02750		MEK1|MAPKK1|MKK1|PRKMK1	achondroplasia	candidate	0	biology	MEK1; MEK inhibitors rescue growth in models	curated (Claude knowledge; unverified)
RAF1	HGNC:9829	5894	ENSG00000132155	Raf-1 proto-oncogene, serine/threonine kinase	P04049		Raf-1|c-Raf|CRAF	achondroplasia	candidate	0	biology	MAPK cascade	curated (Claude knowledge; unverified)
STAT1	HGNC:11362	6772	ENSG00000115415	signal transducer and activator of transcription 1	P42224		STAT91|ISGF-3	achondroplasia	candidate	0	biology	proposed mediator of reduced chondrocyte proliferation	curated (Claude knowledge; unverified)
PTPN11	HGNC:9644	5781	ENSG00000179295	protein tyrosine phosphatase non-receptor type 11	Q06124		BPTP3|SH-PTP2|SHP-2|PTP2C|SHP2|NS1	achondroplasia	candidate	0	biology	SHP2; RAS-MAPK adaptor	curated (Claude knowledge; unverified)
SOS1	HGNC:11187	6654	ENSG00000115904	SOS Ras/Rac guanine nucleotide exchange factor 1	Q07889		HGF|GF1|GINGF	achondroplasia	candidate	0	biology	RAS activator	curated (Claude knowledge; unverified)
GRB2	HGNC:4566	2885	ENSG00000177885	growth factor receptor bound protein 2	P62993		NCKAP2	achondroplasia	candidate	0	biology	adaptor	curated (Claude knowledge; unverified)
FRS2	HGNC:16971	10818	ENSG00000166225	fibroblast growth factor receptor substrate 2	Q8WU20		SNT-1|FRS2alpha|SNT1|FRS2A	achondroplasia	candidate	0	biology	receptor substrate	curated (Claude knowledge; unverified)
FGF9	HGNC:3687	2254	ENSG00000102678	fibroblast growth factor 9	P31371			achondroplasia	candidate	0	biology	ligand	curated (Claude knowledge; unverified)
FGF18	HGNC:3674	8817	ENSG00000156427	fibroblast growth factor 18	O76093		FGF-18|ZFGF5	achondroplasia	candidate	0	biology	ligand	curated (Claude knowledge; unverified)
IHH	HGNC:5956	3549	ENSG00000163501	Indian hedgehog signaling molecule	Q14623		HHG2|BDA1	achondroplasia	candidate	0	biology	growth-plate proliferation signal	curated (Claude knowledge; unverified)
PTH1R	HGNC:9608	5745	ENSG00000160801	parathyroid hormone 1 receptor	Q03431		PTHR|PTHR1	achondroplasia	candidate	0	biology	growth-plate differentiation control	curated (Claude knowledge; unverified)
PTHLH	HGNC:9607	5744	ENSG00000087494	parathyroid hormone like hormone	P12272		PTHRP|HHM|PLP|PTHR	achondroplasia	candidate	0	biology	PTHrP; delays hypertrophy	curated (Claude knowledge; unverified)
SOX9	HGNC:11204	6662	ENSG00000125398	SRY-box transcription factor 9	P48436		SRA1|CMD1|CMPD1	achondroplasia	candidate	0	biology	chondrocyte master regulator	curated (Claude knowledge; unverified)
COL2A1	HGNC:2200	1280	ENSG00000139219	collagen type II alpha 1 chain	P02458		STL1|SEDC|AOM	achondroplasia	candidate	0	biology	cartilage matrix; other skeletal dysplasias	curated (Claude knowledge; unverified)
COL10A1	HGNC:2185	1300	ENSG00000123500	collagen type X alpha 1 chain	Q03692			achondroplasia	candidate	0	biology	hypertrophic chondrocyte marker	curated (Claude knowledge; unverified)
MMP13	HGNC:7159	4322	ENSG00000137745	matrix metallopeptidase 13	P45452		CLG3	achondroplasia	candidate	0	biology	cartilage remodelling	curated (Claude knowledge; unverified)
SNAI1	HGNC:11128	6615	ENSG00000124216	snail family transcriptional repressor 1	O95863		SNA|SLUGH2|SNAH|SNAIL1|SNAIL	achondroplasia	candidate	0	biology	proposed effector of the causal receptor in chondrocytes	curated (Claude knowledge; unverified)
IGF1	HGNC:5464	3479	ENSG00000017427	insulin like growth factor 1	P05019		IGF1A|IGFI|IGF-I|IGF	achondroplasia	candidate	0	clinical_trial	growth axis	curated (Claude knowledge; unverified)
