symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
SLC27A3	HGNC:10997	11000	ENSG00000143554	solute carrier family 27 member 3	Q5K4L6		FATP3|MGC4365|ACSVL3	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC2A2	HGNC:11006	6514	ENSG00000163581	solute carrier family 2 member 2	P11168		GLUT-2|GLUT2	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35A1	HGNC:11021	10559	ENSG00000164414	solute carrier family 35 member A1	P78382		CMPST|hCST|CMP-Sia-Tr	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLCO4A1	HGNC:10953	28231	ENSG00000101187	solute carrier organic anion transporter family member 4A1	Q96BD0		OATP-E|OATP4A1|SLC21A12	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC38A2	HGNC:13448	54407	ENSG00000134294	solute carrier family 38 member 2	Q96QD8		SAT2|ATA2|KIAA1382|SNAT2	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35B3	HGNC:21601	51000	ENSG00000124786	solute carrier family 35 member B3	Q9H1N7		CGI-19|dJ453H5.1|PAPST2|C6orf196	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A22	HGNC:19954	79751	ENSG00000177542	solute carrier family 25 member 22	Q9H936		GC1|FLJ13044|NET44|EIEE3|GC-1	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35F3	HGNC:23616	148641	ENSG00000183780	solute carrier family 35 member F3	Q8IY50		FLJ37712	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC7A10	HGNC:11058	56301	ENSG00000130876	solute carrier family 7 member 10	Q9NS82		asc-1	cystinuria	candidate	0	biology	asc-1; related light subunit	curated (Claude knowledge; unverified)
SLC4A10	HGNC:13811	57282	ENSG00000144290	solute carrier family 4 member 10	Q6U841		NBCn2|NCBE	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC46A3	HGNC:27501	283537	ENSG00000139508	solute carrier family 46 member 3	Q7Z3Q1		DKFZp686A1775|FLJ42613	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC30A5	HGNC:19089	64924	ENSG00000145740	solute carrier family 30 member 5	Q8TAD4		ZTL1|ZnT-5|FLJ12496|FLJ12756|ZNT5|MGC5499|ZNTL1	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC26A7	HGNC:14467	115111	ENSG00000147606	solute carrier family 26 member 7	Q8TE54		SUT2	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC17A1	HGNC:10929	6568	ENSG00000124568	solute carrier family 17 member 1	Q14916		NAPI-1|NPT1	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
SLC18A1	HGNC:10934	6570	ENSG00000036565	solute carrier family 18 member A1	P54219		CGAT|VMAT1|VAT1	cystinuria	random	0		SLC decoy	SLC decoy, seed 20260921
