symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
SLC28A1	HGNC:11001	9154	ENSG00000156222	solute carrier family 28 member 1	O00337		CNT1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC11A2	HGNC:10908	4891	ENSG00000110911	solute carrier family 11 member 2	P49281		DCT1|DMT1|DMT-1|FLJ37416|NRAMP2	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC52A2	HGNC:30224	79581	ENSG00000185803	solute carrier family 52 member 2	Q9HAB3		FLJ11856|PAR1|GPCR41|D15Ertd747e|RFVT2|hRFT3|RFT3|HuPAR-1|GPR172A	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A47	HGNC:20115	283600	ENSG00000140107	solute carrier family 25 member 47	Q6Q0C1		HDCMP|C14orf68	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC45A1	HGNC:17939	50651	ENSG00000162426	solute carrier family 45 member 1	Q9Y2W3		DNB5	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLCO4C1	HGNC:23612	353189	ENSG00000173930	solute carrier organic anion transporter family member 4C1	Q6ZQN7		SLC21A20|OATP4C1|OATPX|OATP-H	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC38A2	HGNC:13448	54407	ENSG00000134294	solute carrier family 38 member 2	Q96QD8		SAT2|ATA2|KIAA1382|SNAT2	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35C1	HGNC:20197	55343	ENSG00000181830	solute carrier family 35 member C1	Q96A29		FUCT1|FLJ11320	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC16A3	HGNC:10924	9123	ENSG00000141526	solute carrier family 16 member 3	O15427		MCT3|MCT4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35F2	HGNC:23615	54733	ENSG00000110660	solute carrier family 35 member F2	Q8IXU6		FLJ13018	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC5A5	HGNC:11040	6528	ENSG00000105641	solute carrier family 5 member 5	Q92911		NIS	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC22A5	HGNC:10969	6584	ENSG00000197375	solute carrier family 22 member 5	O76082		OCTN2|SCD|CDSP	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC68A1	HGNC:26196	79847	ENSG00000138111	solute carrier family 68 member 1	Q14CX5		FLJ22529|bA18I14.8|C10orf77|TMEM180|MFSD13A	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC67A2	HGNC:28158	84804	ENSG00000135953	solute carrier family 67 member 2	Q8NBP5		MGC11332|MFSD9	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC22A6	HGNC:10970	9356	ENSG00000197901	solute carrier family 22 member 6	Q4U2R8		ROAT1|PAHT|OAT1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC38A4	HGNC:14679	55089	ENSG00000139209	solute carrier family 38 member 4	Q969I6		PAAT|NAT3|ATA3|SNAT4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC26A4	HGNC:8818	5172	ENSG00000091137	solute carrier family 26 member 4	O43511		PDS|DFNB4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC13A5	HGNC:23089	284111	ENSG00000141485	solute carrier family 13 member 5	Q86YT5		NACT|INDY|mINDY	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC7A7	HGNC:11065	9056	ENSG00000155465	solute carrier family 7 member 7	Q9UM01		y+LAT-1|Y+LAT1|LPI	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35G5	HGNC:15546	83650	ENSG00000177710	solute carrier family 35 member G5	Q96KT7		AMAC|AMAC1L2	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC7A11	HGNC:11059	23657	ENSG00000151012	solute carrier family 7 member 11	Q9UPY5		xCT	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC6A2	HGNC:11048	6530	ENSG00000103546	solute carrier family 6 member 2	P23975		NET|NET1|NAT1|SLC6A5	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC4A8	HGNC:11034	9498	ENSG00000050438	solute carrier family 4 member 8	Q2Y0W8		NBC3	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC30A10	HGNC:25355	55532	ENSG00000196660	solute carrier family 30 member 10	Q6XR72		DKFZp547M236|ZnT-10|ZRC1|ZNT8|ZNT10	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC22A15	HGNC:20301	55356	ENSG00000163393	solute carrier family 22 member 15	Q8IZD6		FLIPT1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A33	HGNC:29681	84275	ENSG00000171612	solute carrier family 25 member 33	Q9BSK2		MGC4399|BMSC-MCP|PNC1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC30A9	HGNC:1329	10463	ENSG00000014824	solute carrier family 30 member 9	Q6PML9		HUEL|ZNT9|GAC63|C4orf1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC9A5	HGNC:11078	6553	ENSG00000135740	solute carrier family 9 member A5	Q14940		NHE5	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC1A7	HGNC:10945	6512	ENSG00000162383	solute carrier family 1 member 7	O00341		EAAT5	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC30A8	HGNC:20303	169026	ENSG00000164756	solute carrier family 30 member 8	Q8IWU4		ZnT-8|ZNT8	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC16A7	HGNC:10928	9194	ENSG00000118596	solute carrier family 16 member 7	O60669		MCT2	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC22A14	HGNC:8495	9389	ENSG00000144671	solute carrier family 22 member 14	Q9Y267		OCTL2|ORCTL4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC30A4	HGNC:11015	7782	ENSG00000104154	solute carrier family 30 member 4	O14863		ZNT4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC4A4	HGNC:11030	8671	ENSG00000080493	solute carrier family 4 member 4	Q9Y6R1		NBC1|HNBC1|NBC2|pNBC|hhNMC|kNBC1|KNBC|NBCe1|SLC4A5	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35D1	HGNC:20800	23169	ENSG00000116704	solute carrier family 35 member D1	Q9NTN3		UGTREL7|KIAA0260	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC30A3	HGNC:11014	7781	ENSG00000115194	solute carrier family 30 member 3	Q99726		ZNT3	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC29A2	HGNC:11004	3177	ENSG00000174669	solute carrier family 29 member 2	Q14542		DER12|ENT2|HNP36	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35D3	HGNC:15621	340146	ENSG00000182747	solute carrier family 35 member D3	Q5M8T2		FRCL1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC1A3	HGNC:10941	6507	ENSG00000079215	solute carrier family 1 member 3	P43003		EAAT1|GLAST|EA6|GLAST1|GLAST-1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC17A5	HGNC:10933	26503	ENSG00000119899	solute carrier family 17 member 5	Q9NRA2		AST|SD|ISSD|NSD|SIALIN|SLD|SIASD	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC2A13	HGNC:15956	114134	ENSG00000151229	solute carrier family 2 member 13	Q96QE2		HMIT	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A23	HGNC:19375	79085	ENSG00000125648	solute carrier family 25 member 23	Q9BV35		FLJ30339|MGC2615|APC2	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC2A4	HGNC:11009	6517	ENSG00000181856	solute carrier family 2 member 4	P14672		GLUT4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC41A1	HGNC:19429	254428	ENSG00000133065	solute carrier family 41 member 1	Q8IVJ1		MgtE	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC7A10	HGNC:11058	56301	ENSG00000130876	solute carrier family 7 member 10	Q9NS82		asc-1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC35G4	HGNC:31043	646000	ENSG00000236396	solute carrier family 35 member G4	P0C7Q5		AMAC1L1|SLC35G4P	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC36A2	HGNC:18762	153201	ENSG00000186335	solute carrier family 36 member 2	Q495M3		PAT2|tramdorin|TRAMD1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC15A5	HGNC:33455	729025	ENSG00000188991	solute carrier family 15 member 5	A6NIM6			achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC5A9	HGNC:22146	200010	ENSG00000117834	solute carrier family 5 member 9	Q2M3M2		SGLT4	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A20	HGNC:1421	788	ENSG00000178537	solute carrier family 25 member 20	O43772		CAC|CACT	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC6A11	HGNC:11044	6538	ENSG00000132164	solute carrier family 6 member 11	P48066		GAT3	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
SLC23A2	HGNC:10973	9962	ENSG00000089057	solute carrier family 23 member 2	Q9UGH3		SVCT2|KIAA0238|YSPL2|SLC23A1	achondroplasia	random	0		SLC decoy	SLC decoy, seed 20260921
